,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
0,2009-10,20,OKC,NBA,PF,73,0,1323,201,370,0.543,1,2,0.5,200,368,0.543,0.545,58,92,0.63,138,259,397,10,25,97,68,194,461,,0
1,2010-11,21,OKC,NBA,PF,82,44,2216,335,617,0.543,0,1,0,335,616,0.544,0.543,138,184,0.75,214,408,622,22,31,198,71,267,808,,0
2,2011-12,22,OKC,NBA,PF,66,66,1792,262,490,0.535,1,3,0.333,261,487,0.536,0.536,78,118,0.661,193,305,498,28,33,241,79,179,603,,1
3,2012-13,23,OKC,NBA,PF,80,80,2486,446,778,0.573,20,57,0.351,426,721,0.591,0.586,143,191,0.749,222,395,617,43,28,242,125,213,1055,,0
4,2013-14,24,OKC,NBA,PF,81,81,2666,524,978,0.536,23,60,0.383,501,918,0.546,0.548,156,199,0.784,224,485,709,85,39,219,123,233,1227,,0
5,2014-15,25,OKC,NBA,PF,64,64,2116,374,786,0.476,77,205,0.376,297,581,0.511,0.525,92,110,0.836,135,364,499,55,30,155,97,194,917,,0
6,2015-16,26,OKC,NBA,PF,78,78,2500,416,869,0.479,60,184,0.326,356,685,0.52,0.513,91,121,0.752,141,392,533,66,38,148,108,211,983,,0
7,2016-17,27,TOT,NBA,PF,79,79,2422,471,982,0.48,124,317,0.391,347,665,0.522,0.543,107,125,0.856,129,409,538,75,41,124,105,215,1173,,0
8,2016-17,27,ORL,NBA,PF,56,56,1710,343,703,0.488,83,214,0.388,260,489,0.532,0.547,77,91,0.846,100,282,382,60,34,91,66,139,846,,0
9,2016-17,27,TOR,NBA,PF,23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327,,0
10,2017-18,28,TOR,NBA,PF,76,76,2093,379,784,0.483,107,297,0.36,272,487,0.559,0.552,94,118,0.797,78,400,478,62,29,99,90,209,959,,0
11,2018-19,29,TOR,NBA,C,74,51,2010,464,877,0.529,49,169,0.29,415,708,0.586,0.557,135,177,0.763,156,445,601,99,29,103,114,211,1112,,0
12,2019-20,30,TOR,NBA,C,55,27,1485,343,670,0.512,70,182,0.385,273,488,0.559,0.564,89,124,0.718,114,338,452,77,28,46,109,153,845,,0
13,2020-21,31,LAC,NBA,C,41,39,955,186,365,0.51,39,115,0.339,147,250,0.588,0.563,43,53,0.811,73,202,275,74,9,47,44,76,454,,0
14,2021-22,32,TOT,NBA,"C,PF",38,11,617,102,209,0.488,26,69,0.377,76,140,0.543,0.55,22,32,0.688,41,127,168,39,8,27,35,66,252,,0
15,2021-22,32,LAC,NBA,C,35,10,538,94,192,0.49,24,62,0.387,70,130,0.538,0.552,20,29,0.69,40,110,150,36,7,26,33,56,232,,0
16,2021-22,32,MIL,NBA,PF,3,1,79,8,17,0.471,2,7,0.286,6,10,0.6,0.529,2,3,0.667,1,17,18,3,1,1,2,10,20,,0
17,Career,,,NBA,,887,696,24681,4503,8775,0.513,597,1661,0.359,3906,7114,0.549,0.547,1246,1644,0.758,1858,4529,6387,735,368,1746,1168,2421,10849,,1
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7 seasons,,OKC,NBA,,524,413,15099,2558,4888,0.523,182,512,0.355,2376,4376,0.543,0.542,756,1015,0.745,1267,2608,3875,309,224,1300,671,1491,6054,,1
20,4 seasons,,TOR,NBA,,228,177,6300,1314,2610,0.503,267,751,0.356,1047,1859,0.563,0.555,348,453,0.768,377,1310,1687,253,93,281,352,649,3243,,0
21,2 seasons,,LAC,NBA,,76,49,1493,280,557,0.503,63,177,0.356,217,380,0.571,0.559,63,82,0.768,113,312,425,110,16,73,77,132,686,,0
22,1 season,,ORL,NBA,,56,56,1710,343,703,0.488,83,214,0.388,260,489,0.532,0.547,77,91,0.846,100,282,382,60,34,91,66,139,846,,0
23,1 season,,MIL,NBA,,3,1,79,8,17,0.471,2,7,0.286,6,10,0.6,0.529,2,3,0.667,1,17,18,3,1,1,2,10,20,,0
